feature,group,rank,mean_abs_all,share_all,mean_abs_benign,mean_abs_attack,mean_signed_all,spearman_value_vs_shap_uniform,direction
Subflow Fwd Bytes,fwd_size,51,0.0102643,0.00116525,0.0113087,0.00696919,0.00187744,-0.137401,non-monotone / mixed
Fwd IAT Max,timing,52,0.0102488,0.0011635,0.0109249,0.00811611,-0.00394713,-0.300907,non-monotone / mixed
Active Mean,timing,53,0.00784908,0.000891069,0.00751619,0.0088993,-0.00217414,-0.282039,non-monotone / mixed
Bwd Packet Length Max,bwd_size,54,0.00782144,0.000887931,0.00522603,0.0160095,-0.00196496,0.586359,higher value -> toward attack
Fwd Packet Length Mean,fwd_size,55,0.00754207,0.000856215,0.00781901,0.00666838,0.00287964,0.67343,higher value -> toward attack
Bwd IAT Max,timing,56,0.00736389,0.000835987,0.00607445,0.0114318,-0.00156844,-0.0279432,non-monotone / mixed
Bwd Bytes/Bulk Avg,bwd_size,57,0.00685935,0.00077871,0.00829712,0.00232346,-0.00414213,-0.223184,non-monotone / mixed
Idle Max,timing,58,0.00636092,0.000722125,0.00649832,0.00592746,-0.00343852,-0.16507,non-monotone / mixed
Bwd Bulk Rate Avg,rates,59,0.00615791,0.000699079,0.00272599,0.016985,0.00225146,0.147421,non-monotone / mixed
Active Std,timing,60,0.00614937,0.000698109,0.00604701,0.00647229,-0.00336946,-0.326046,non-monotone / mixed
Fwd IAT Std,timing,61,0.00505626,0.000574013,0.00361522,0.00960251,0.00111512,0.062373,non-monotone / mixed
Fwd Bytes/Bulk Avg,fwd_size,62,0.0043753,0.000496708,0.00429156,0.00463949,-0.00190152,0.0464144,non-monotone / mixed
Protocol,protocol,63,0.00431165,0.000489481,0.00425637,0.00448603,0.00430548,0.638887,higher value -> toward attack
Active Max,timing,64,0.00382858,0.00043464,0.00369563,0.00424801,0.000174743,-0.398651,non-monotone / mixed
Idle Mean,timing,65,0.00314012,0.000356483,0.00228913,0.00582485,0.00189797,-0.462817,non-monotone / mixed
Fwd Packet/Bulk Avg,counts_direction,66,0.00239205,0.000271558,0.00240572,0.00234889,-0.00123158,-0.00386213,non-monotone / mixed
Fwd Bulk Rate Avg,rates,67,0.00168838,0.000191674,0.00178966,0.00136885,0.00144103,0.152638,non-monotone / mixed
Idle Std,timing,68,0.00131311,0.000149072,0.0014371,0.000921951,-0.00073473,-0.191553,non-monotone / mixed
Fwd RST Flags,flags,69,0.000128535,1.45919e-05,0.000156019,4.18255e-05,0.00011022,-0.684944,higher value -> toward benign
