daygroup,benign_test,fp,fpr,ci95_low,ci95_high,fp_share_reverse,fp_share_in_attack_window,tn_share_in_attack_window,fp_share_attempted,benign_score_q0.5,benign_score_q0.99,benign_score_q0.999,fp_score_median,fp_median_sum_abs_shap,tn_median_sum_abs_shap,fp_top5_features,fp_protocols,fp_top_dst_ports,fp_top_src_ports,fp_n_host_pairs,fp_top3_pairs_share,fp_top_pairs
mon-wed,303528,319,0.00105097,0.000941846,0.00117273,0,0.37931,0.242453,0.667712,7.40595e-05,0.00080684,0.0334405,0.2541,16.0225,6.1687,"RST Flag Count, SYN Flag Count, Bwd Init Win Bytes, Bwd Packet Length Std, Bwd PSH Flags","6:305, 17:9, 0:4","80:235, 443:37, 22:27, 53:6, 0:5","0:5, 137:3, 49685:3, 38168:2, 58513:1",59,0.717868,172.16.0.1 -> 192.168.10.50 (213); 192.168.10.17 -> 111.93.223.135 (10); 192.168.10.8 -> 192.168.10.50 (6)
thursday,87052,1800,0.0206773,0.0197529,0.021644,0.981111,0.991667,0.458136,0.00555556,7.40595e-05,0.964466,0.969311,0.964466,18.3689,6.15477,"RST Flag Count, Flow Duration, Fwd Seg Size Min, Total TCP Flow Time, Bwd Init Win Bytes","6:1736, 1:55, 17:9","51296:107, 54031:97, 49846:96, 61350:73, 35515:68","0:55, 8888:7, 21:7, 1600:6, 143:6",20,0.534444,192.168.10.25 -> 192.168.10.8 (431); 192.168.10.51 -> 192.168.10.8 (266); 192.168.10.12 -> 192.168.10.8 (265)
friday,87783,654,0.00745019,0.00690249,0.008041,0.961774,0.984709,0.539005,0.00458716,7.40595e-05,0.00219676,0.963557,0.960687,18.2433,6.16647,"RST Flag Count, Total TCP Flow Time, Flow Duration, Fwd Seg Size Min, Bwd Init Win Bytes","6:650, 17:2, 1:2","51903:21, 36114:11, 80:10, 42668:10, 58056:9","1051:4, 4126:4, 8021:4, 1036:3, 18988:3",20,0.970948,192.168.10.50 -> 172.16.0.1 (629); 192.168.10.25 -> 192.168.10.50 (4); 192.168.10.17 -> 104.197.43.56 (2)
