family,run_id,recall,fpr,pr_auc
lr,E1_primary__lr__0587332323,0.9792273682684641,0.000997184420459878,0.9960636212803965
rf,E1_primary__rf__63b3d396c3,0.9999710081901863,0.0007806013789120312,0.9998795358655239
lgbm,E1_primary__lgbm__99966b1299,0.9998115532362107,0.0008663321661913872,0.9999725048063397
