experiment,target_fpr,threshold,val_fpr,budget_met,val_recall,val_precision,val_fp,val_fn
E1_primary__lr,0.001,0.8028030541242089,0.000997184420459878,True,0.9792273682684641,0.9967391143965886,221,1433
E1_primary__lr,0.01,0.16873740625530875,0.00989513771071725,True,0.9963035442487497,0.969079142168267,2193,255
E1_primary__rf,0.001,0.14415721878898446,0.0007806013789120312,True,0.9999710081901863,0.9974984093932558,173,2
E1_primary__rf,0.01,0.03241326168957747,0.0026892394325524313,True,1.0,0.9914344433106739,596,0
E1_primary__lgbm,0.001,0.027597897248344987,0.0008663321661913872,True,0.9998115532362107,0.9972239893586259,192,13
E1_primary__lgbm,0.01,0.0030711278264351476,0.003068259755261163,True,1.0,0.9902390009330366,680,0
E2_random__lr,0.001,0.8987900373800078,0.000998938348033704,True,0.9577733497265443,0.9967203953173716,223,2988
E2_random__lr,0.01,0.22597132576464368,0.009949067582882765,True,0.9935981684826387,0.9693777661349253,2221,453
E2_random__rf,0.001,0.0863066378066378,0.0005509839318750924,True,0.9999717358431904,0.9982647216500663,123,2
E2_random__rf,0.01,0.015983877233877234,0.00399127384797323,True,1.0,0.9875648970021772,891,0
E2_random__lgbm,0.001,0.0055313804497862966,0.00023293629640247808,True,1.0,0.9992656715574824,52,0
E2_random__lgbm,0.01,0.0055313804497862966,0.00023293629640247808,True,1.0,0.9992656715574824,52,0
E3_dst_port__lgbm,0.001,0.013122064653579091,0.0009159657798794355,True,1.0,0.9970659651962768,203,0
E3_dst_port__lgbm,0.01,0.013122064653579091,0.0009159657798794355,True,1.0,0.9970659651962768,203,0
E3_no_tcp_window__lgbm,0.001,0.046948198825788254,0.0007174313251272425,True,0.9998695368558382,0.9977001518767629,159,9
E3_no_tcp_window__lgbm,0.01,0.008978581639929022,0.0016514456918023319,True,1.0,0.9947224985941082,366,0
E3_no_header_length__lgbm,0.001,0.016732037274246676,0.0008573078727935603,True,0.9998550409509314,0.997252945854117,190,10
E3_no_header_length__lgbm,0.01,0.002639062914527464,0.0020846117748980256,True,1.0,0.9933474448140308,462,0
E4_excl_attempted__lgbm,0.001,0.015114602862778515,0.0006997423675828445,True,0.9999855040950931,0.9977725708004281,154,1
E4_excl_attempted__lgbm,0.01,0.0018063178601991036,0.0019492823096950668,True,1.0,0.9938196905523381,429,0
